aX,aY,aZ
0.007,-0.496,0.913
0.024,-0.484,0.917
0.025,-0.469,0.918
0.02,-0.464,0.93
0.009,-0.454,0.935
-0.014,-0.428,0.936
-0.031,-0.389,0.89
-0.055,-0.331,0.852
-0.077,-0.299,0.831
-0.073,-0.297,0.832
-0.064,-0.31,0.829
-0.046,-0.322,0.836
-0.002,-0.355,0.836
0.056,-0.387,0.864
0.117,-0.392,0.962
0.106,-0.384,0.97
0.065,-0.359,0.953
0.02,-0.334,0.955
-0.001,-0.301,0.992
-0.029,-0.294,1.03
-0.012,-0.298,1.033
0.02,-0.325,1.012
0.035,-0.353,1.01
0.09,-0.378,1.026
0.101,-0.387,1.032
0.105,-0.385,1.004
0.084,-0.364,0.97
0.028,-0.351,0.92
0.005,-0.36,0.9
0.009,-0.366,0.89
0.034,-0.369,0.885
0.065,-0.373,0.874
0.104,-0.398,0.856
0.127,-0.403,0.854
0.162,-0.409,0.879
0.164,-0.414,0.889
0.109,-0.404,0.917
0.065,-0.419,0.962
0.043,-0.425,0.994
0.073,-0.444,1.028
0.097,-0.448,1.034
0.105,-0.437,1.012
0.081,-0.388,0.932
0.069,-0.361,0.838
0.078,-0.38,0.781
0.088,-0.414,0.753
0.095,-0.419,0.778
0.091,-0.414,0.821
0.079,-0.395,0.866
0.071,-0.374,0.909
0.057,-0.356,0.953
0.049,-0.333,0.988
0.038,-0.308,1.024
0.04,-0.302,1.063
0.047,-0.31,1.086
0.062,-0.316,1.1
0.08,-0.332,1.087
0.086,-0.346,1.075
0.081,-0.35,1.04
0.073,-0.362,0.985
0.061,-0.363,0.912
0.061,-0.362,0.752
0.083,-0.382,0.798
0.109,-0.404,0.787
0.137,-0.424,0.827
0.138,-0.421,0.89
0.12,-0.423,0.91
0.102,-0.424,0.924
0.091,-0.415,0.945
0.092,-0.401,0.973
0.095,-0.392,0.992
0.116,-0.383,1.012
0.121,-0.366,1.021
0.123,-0.355,1.013
0.114,-0.345,0.994
0.088,-0.335,0.981
0.072,-0.334,0.951
0.059,-0.335,0.932
0.056,-0.331,0.923
0.065,-0.327,0.895
0.075,-0.329,0.871
0.091,-0.337,0.865
0.096,-0.352,0.87
0.092,-0.356,0.891
0.078,-0.369,0.926
0.062,-0.387,0.941
0.064,-0.403,0.943
0.077,-0.418,0.954
0.103,-0.425,0.965
0.108,-0.421,0.977
0.118,-0.417,0.982
0.12,-0.395,0.976
0.108,-0.372,0.968
0.105,-0.354,0.941
0.104,-0.349,0.916
0.106,-0.355,0.907
0.13,-0.366,0.904
0.144,-0.375,0.904
0.147,-0.382,0.902
0.138,-0.395,0.899
0.125,-0.403,0.901
0.101,-0.401,0.911
0.082,-0.386,0.926
0.066,-0.373,0.937
0.045,-0.354,0.943
0.046,-0.34,0.944
0.364,-0.931,0.791
0.37,-0.943,0.742
0.349,-0.916,0.694
0.3,-0.825,0.655
0.22,-0.748,0.525
0.181,-0.71,0.379
0.115,-0.703,0.285
0.089,-0.693,0.248
0.084,-0.684,0.175
0.09,-0.681,0.099
0.109,-0.688,0.072
0.124,-0.707,0.068
0.162,-0.707,0.111
0.214,-0.69,0.136
0.271,-0.716,0.182
0.481,-0.793,0.277
0.701,-1.011,0.474
0.806,-1.17,0.606
0.842,-1.193,0.526
0.866,-1.115,0.464
0.882,-1.029,0.393
0.829,-0.976,0.273
0.614,-0.89,0.104
0.479,-0.798,-0.066
0.28,-0.668,-0.242
0.126,-0.555,-0.347
0.05,-0.474,-0.285
0.052,-0.418,-0.232
0.098,-0.398,-0.128
0.135,-0.454,-0.056
0.224,-0.515,-0.021
0.325,-0.696,0.024
0.437,-0.859,0.09
0.503,-0.929,0.127
0.556,-0.95,0.116
0.57,-0.982,0.065
0.569,-1.036,0.09
0.571,-1.041,0.131
0.525,-0.962,0.045
0.421,-0.757,-0.298
0.212,-0.719,-0.543
0.091,-0.59,-0.761
0.023,-0.42,-0.807
0.204,-0.252,-0.822
0.13,-0.28,-0.833
0.208,-0.375,-0.816
0.32,-0.649,-0.625
0.583,-0.83,-0.378
0.674,-0.938,-0.224
0.632,-0.896,-0.48
0.529,-0.764,-0.691
0.4,-0.651,-0.872
0.336,-0.536,-0.982
0.253,-0.381,-0.984
0.265,-0.457,-0.915
0.29,-0.477,-0.882
0.32,-0.515,-0.908
0.357,-0.564,-0.943
0.372,-0.605,-0.972
0.351,-0.592,-1.006
0.378,-0.633,-0.985
0.442,-0.796,-0.849
0.495,-0.875,-0.752
0.433,-0.84,-0.81
0.309,-0.75,-0.887
0.237,-0.605,-0.932
0.245,-0.539,-0.888
0.244,-0.503,-0.914
0.273,-0.533,-0.924
0.315,-0.585,-0.883
0.377,-0.598,-0.82
0.415,-0.603,-0.804
0.451,-0.643,-0.818
0.473,-0.713,-0.836
0.52,-0.775,-0.803
0.536,-0.81,-0.77
0.521,-0.798,-0.791
0.467,-0.769,-0.824
0.402,-0.701,-0.83
0.352,-0.638,-0.832
0.327,-0.632,-0.832
0.303,-0.628,-0.82
0.302,-0.61,-0.775
0.321,-0.603,-0.732
